date,kind,area,deposit,rent,floor,contract,renewal
2025-12-03,전세,101.9400,255000,0,14,신규,-
2025-12-04,월세,84.9900,40000,720,32,신규,-
2025-12-04,전세,116.9300,360000,0,26,신규,-
2025-12-06,월세,84.9800,100000,540,17,신규,-
2025-12-09,월세,59.9600,27620,50,8,신규,-
2025-12-09,전세,59.9600,165000,0,25,신규,-
2025-12-11,전세,84.9800,210000,0,5,신규,-
2025-12-13,전세,59.9600,163000,0,5,신규,-
2025-12-13,월세,59.9600,10000,589,23,신규,-
2025-12-15,월세,84.9500,150000,300,12,신규,-
2025-12-17,전세,133.9100,440000,0,33,신규,-
2025-12-19,전세,84.9500,193000,0,1,신규,-
2025-12-20,월세,84.9900,100000,480,21,신규,-
2025-12-21,월세,84.9900,130000,320,1,신규,-
2025-12-22,월세,84.9800,100000,480,4,신규,-
2025-12-24,월세,116.9300,200000,500,5,신규,-
2025-12-29,월세,84.9800,170000,160,26,신규,-
2025-12-29,월세,84.9800,170000,160,26,신규,-
2025-12-30,월세,59.9600,120000,200,11,신규,-
2025-12-31,전세,59.9600,160000,0,13,신규,-
2026-01-05,월세,74.9700,100000,405,14,신규,-
2026-01-05,월세,84.9900,175000,160,21,신규,-
2026-01-05,전세,84.9500,210000,0,12,신규,-
2026-01-05,월세,74.9700,100000,405,14,신규,-
2026-01-07,월세,59.9600,130000,160,9,신규,-
2026-01-08,월세,59.9600,30000,490,30,신규,-
2026-01-09,월세,59.9600,140000,160,28,신규,-
2026-01-13,월세,101.9700,150000,300,18,신규,-
2026-01-16,전세,84.9300,210000,0,32,신규,-
2026-01-17,월세,84.9300,60000,680,30,신규,-
2026-01-19,월세,101.9700,60000,860,9,신규,-
2026-01-23,월세,116.9300,250000,400,27,신규,-
2026-01-24,전세,84.9600,200000,0,17,신규,-
2026-01-24,월세,84.9700,65000,680,30,신규,-
2026-01-24,전세,84.9600,200000,0,17,신규,-
2026-01-26,월세,84.9500,100000,340,3,신규,-
2026-01-31,월세,84.9800,100000,440,23,신규,-
2026-01-31,전세,84.9700,180000,0,5,신규,-
2026-02-01,월세,84.9800,20000,880,7,신규,-
2026-02-02,월세,84.9900,100000,330,7,신규,-
2026-02-03,전세,84.9900,205000,0,24,신규,-
2026-02-04,전세,133.9100,380000,0,23,신규,-
2026-02-05,월세,133.9100,330000,200,23,신규,-
2026-02-11,전세,84.9800,210000,0,13,신규,-
2026-02-12,전세,59.9600,160000,0,31,신규,-
2026-02-12,전세,84.9300,210000,0,21,신규,-
2026-02-21,월세,84.9800,40000,720,24,신규,-
2026-02-24,전세,133.9500,500000,0,21,신규,-
2026-02-25,전세,116.9200,350000,0,17,신규,-
2026-02-25,월세,133.9100,100000,1000,34,신규,-
2026-02-27,전세,59.9600,168000,0,8,신규,-
2026-03-03,전세,84.9800,230000,0,18,신규,-
2026-03-06,전세,59.9600,165000,0,20,신규,-
2026-03-07,월세,84.9600,140000,175,1,신규,-
2026-03-10,전세,116.9300,310000,0,22,신규,-
2026-03-13,전세,84.9800,190000,0,1,신규,-
2026-03-13,전세,84.9700,200000,0,1,신규,-
2026-03-14,월세,84.9500,60000,680,17,신규,-
2026-03-18,전세,59.9600,170000,0,17,신규,-
2026-03-18,전세,116.9500,330000,0,3,신규,-
2026-03-19,전세,133.9100,300000,0,6,신규,-
2026-03-19,전세,84.9800,210000,0,22,신규,-
2026-03-23,전세,84.9800,205000,0,7,신규,-
2026-03-28,전세,101.9900,275000,0,3,신규,-
2026-03-30,월세,84.9300,20000,800,5,신규,-
2026-03-31,월세,59.9600,140000,100,8,신규,-
2026-03-31,월세,59.9600,140000,100,8,신규,-
2026-04-09,월세,74.9700,100000,360,15,신규,-
2026-04-14,월세,84.9900,100000,480,21,신규,-
2026-04-16,월세,84.9900,120000,390,13,신규,-
2026-04-16,월세,59.9600,10000,620,31,신규,-
2026-04-16,월세,84.9900,120000,390,13,신규,-
2026-04-17,전세,59.9600,160000,0,8,신규,-
2026-04-21,월세,133.9100,80000,1140,16,신규,-
2026-04-22,월세,84.9800,20000,800,8,신규,-
2026-04-25,월세,59.9600,10000,600,11,신규,-
2026-04-29,월세,116.9200,330000,160,11,신규,-
2026-04-29,전세,59.9600,159000,0,1,신규,-
2026-05-01,월세,59.9600,50000,440,3,신규,-
2026-05-02,전세,84.9800,175000,0,3,신규,-
2026-05-06,전세,84.9500,210000,0,2,신규,-
2026-05-07,전세,59.9600,170000,0,19,신규,-
2026-05-11,전세,59.9600,165000,0,3,신규,-
2026-05-11,월세,84.9800,100000,440,5,신규,-
2026-05-12,월세,84.9900,115000,420,5,신규,-
2026-05-12,전세,101.9900,220000,0,16,신규,-
2026-05-12,전세,133.9100,420000,0,26,신규,-
2026-05-16,전세,116.9300,340000,0,27,신규,-
2026-05-16,전세,116.9300,335000,0,8,신규,-
2026-05-16,전세,84.9800,200000,0,31,신규,-
2026-05-16,전세,116.9300,335000,0,8,신규,-
2026-05-19,월세,116.9700,60000,1140,18,신규,-
2026-05-20,월세,84.9400,70000,640,24,신규,-
2026-05-21,월세,101.9700,170000,400,28,신규,-
2026-05-22,전세,59.9600,165000,0,7,신규,-
2026-05-23,전세,116.8800,400000,0,10,신규,-
2026-05-23,월세,84.9500,120000,440,6,신규,-
2026-05-23,월세,46.9300,80000,59,4,신규,-
2026-05-23,월세,84.9500,40000,670,2,신규,-
2026-05-27,월세,84.9900,50000,740,14,신규,-
2026-05-30,전세,59.9600,180000,0,21,신규,-
2026-05-31,월세,59.9600,110000,200,15,신규,-
2026-06-03,전세,84.9800,210000,0,4,신규,-
2026-06-04,월세,101.9900,180000,280,13,신규,-
2026-06-05,전세,84.9800,220000,0,34,신규,-
2026-06-06,전세,59.9600,160000,0,11,신규,-
2026-06-06,전세,59.9600,160000,0,11,신규,-
2026-06-10,전세,59.9600,169000,0,25,신규,-
2026-06-11,전세,116.9300,290000,0,16,신규,-
2026-06-11,전세,116.9300,290000,0,16,신규,-
2026-06-12,전세,133.9500,380000,0,27,신규,-
2026-06-15,월세,101.9700,50000,960,28,신규,-
2026-06-16,전세,168.9500,525000,0,12,신규,-
2026-06-18,전세,59.9600,175000,0,22,신규,-
2026-06-20,월세,59.9600,50000,440,29,신규,-
2026-06-20,전세,84.9800,220000,0,31,신규,-
2026-06-20,전세,84.9800,220000,0,31,신규,-
2026-06-23,월세,84.9500,20000,850,5,신규,-
2026-06-27,전세,84.9600,230000,0,7,신규,-
2026-06-29,전세,116.9200,340000,0,7,신규,-
2026-07-01,월세,84.9900,90000,550,5,신규,-
2026-07-04,월세,84.9800,100000,390,12,신규,-
2026-07-04,전세,101.9700,195000,0,2,신규,-
2026-07-06,월세,84.9500,50000,680,17,신규,-
2026-07-08,월세,133.5600,70000,2000,7,신규,-
2026-07-10,전세,116.9300,340000,0,13,신규,-
2026-07-11,전세,133.9500,370000,0,29,신규,-
2026-07-16,전세,116.9200,350000,0,15,신규,-
2026-07-17,월세,84.9700,100000,600,24,신규,-
2026-07-17,전세,59.9600,175000,0,27,신규,-
2026-07-17,월세,84.9700,100000,600,24,신규,-
2026-07-17,월세,84.9700,100000,600,24,신규,-
2026-07-18,월세,46.9300,50000,250,16,신규,-
2026-07-18,월세,46.9300,50000,250,16,신규,-
2026-07-30,월세,59.9600,20000,600,28,신규,-
2026-08-03,전세,59.9600,136500,0,24,신규,-
2026-08-03,전세,133.9500,380000,0,27,신규,-
2026-08-06,월세,84.9900,50000,640,18,신규,-
2026-08-07,월세,59.9600,20000,600,25,신규,-
2026-08-07,월세,84.9800,40000,750,28,신규,-
2026-08-12,월세,59.9600,150000,120,20,신규,-
2026-08-13,월세,59.9600,125000,160,21,신규,-
2026-08-19,전세,84.9600,240000,0,5,신규,-
2026-08-19,전세,168.6500,490000,0,16,신규,-
2026-08-20,월세,59.9600,10000,750,18,신규,-
2026-08-29,전세,59.9600,170000,0,28,신규,-
2026-09-02,전세,59.9600,160000,0,18,신규,-
2026-09-04,전세,116.9500,350000,0,24,신규,-
2026-09-11,월세,84.9600,120000,600,10,신규,-
